# 음절은 멀쩡한데 **붙이면 낱말이 되는** 두 글자 (2026-08-06).
#
# 「김해석」·「이유기」·「박주민」은 각 글자가 이름에 쓰이는 것이 맞지만 붙으면 해석(解釋)·
# 유기(遺棄)·주민(住民)이 된다. 글자를 빼면 지수·영수·재현 같은 멀쩡한 이름까지 잃으므로,
# **조합만** 막는다.
#
# 낱말이면서 동시에 흔한 이름인 것(영수·상수·지수·태수·연수·정원·지원·진주·민주·경주)은
# 막지 않는다 — 사람들이 실제로 그 이름을 쓴다.
#
# 첫 글자가 둘째 글자와 같은 것(건건·민민·서서)은 여기 적지 않는다. build_names.py 가 규칙으로 막는다.
#
# 금지조합	이유
건기	乾期
경기	景氣·京畿
규범	規範
대기	大氣
도서	圖書
도수	度數
동기	動機
범주	範疇
서기	書記
선수	選手
성기	性器
성서	聖書
세수	洗手
수건	手巾
승수	乘數
승진	昇進
시기	時期
시선	視線
시주	施主
연승	連勝
예수	耶蘇
온수	溫水
유기	遺棄
유서	遺書
유수	流水
윤기	潤氣
재건	再建
재수	再修
정기	定期
정서	情緖
주기	週期
주민	住民
지기	地氣
지진	地震
하수	下水
해석	解釋
현미	玄米
가수	歌手
다수	多數
미수	未遂
상승	上昇
대승	大勝
소수	少數·素數
대수	代數
