# 성씨와 인구수 — **가중 추출의 근거**다 (사용자 제공 2026-08-06, 원자료 57행).
#
# 왜 인구수를 그대로 두는가. 예전에는 "김을 22번, 이를 15번 넣는" 식으로 목록에 중복 배치해
# 분포를 흉내 냈다(`regen-mydata-identity.py`). 그 방식은 ① 비율이 코드에 녹아 있어 근거를
# 되짚을 수 없고 ② 성씨를 하나 더하려면 다른 것들의 중복 수까지 다시 계산해야 한다.
# 숫자를 그대로 두면 **누적합 한 번**으로 정확한 비율이 나오고, 줄 하나로 성씨가 늘어난다.
#
# 같은 한글 표기의 다른 본관은 **인구를 합쳤다** — 이름에 한자는 나오지 않으므로 표기가 같으면
# 같은 성씨로 뽑혀야 한다. 합친 것: 정(鄭+丁) 강(姜+康) 조(趙+曺) 임(林+任) 신(申+辛)
# 전(全+田) 유(柳+劉+兪). 류(柳)는 두음법칙으로 표기가 갈리므로 **따로 둔다.**
#
# 성씨	인구수	한자
김	10689959	金
이	7306828	李
박	4192074	朴
정	2395682	鄭·丁
최	2333927	崔
조	1453827	趙·曺
강	1268472	姜·康
윤	1020547	尹
임	1015182	林·任
장	992721	張
유	949428	柳·劉·兪
신	933958	申·辛
한	773404	韓
오	763281	吳
서	751704	徐
전	745579	全·田
권	705941	權
황	697171	黃
안	685639	安
송	683494	宋
홍	558853	洪
고	471396	高
문	464040	文
양	460600	梁
손	457303	孫
배	400641	裵
백	381986	白
허	326770	許
남	275648	南
심	271749	沈
노	256229	盧
하	230481	河
곽	203188	郭
성	199124	成
차	194782	車
주	194766	朱
우	194713	禹
구	193080	具
민	171740	閔
류	163703	柳
나	160946	羅
진	157599	陳
지	153491	池
엄	144425	嚴
채	131557	蔡
원	129522	元
천	121780	千
방	94831	方
공	91869	孔
