# 국세청 업종코드(6자리) → 우리 소비 중분류 대조표
#
# **KSIC 가 아니다.** 국세청 업종코드는 구 분류 세대를 쓴다(소매 52xxxx · 음식 55xxxx).
# KSIC-10(소매 47xx · 음식 56xx)과 번호가 겹치지 않으므로 섞어 쓰면 안 된다.
# 원천: reference/업종코드-국세청-2025.csv (국세청 2025년 귀속 업종코드, 1,542개)
#
# **여기 없는 코드는 전부 '카테고리없음'이다.** 1,542개 중 소비로 결제될 수 있는 것만 적는다 —
# 제조·도매·B2B 서비스는 개인 카드로 결제될 일이 사실상 없고, 억지로 연결하면 그 오분류를
# 아무도 눈치채지 못한다. 빠진 것은 가맹점명으로 LLM 이 받는다(§F).
#
# 왜 6자리인가: 4자리로는 화장품과 의약품이 한 코드(KSIC 4781)에 묶여 올리브영이 '의료'가 됐다.
# 국세청 6자리는 523131(화장품) / 523111(의약품) 으로 가른다.
#
# 주의 — 724000 은 OTT(넷플릭스)와 '데이터베이스 및 온라인 정보 제공업'(일부 PG 가 이 업종으로
# 등록)이 **한 코드에 섞여** 있다. 업종코드로는 못 가르므로 취미/여가로 두고, PG 는
# pg-사업자번호.tsv 로 따로 막는다.
#
# ── 4번째 칸: 카드혜택 축 (2026-08-10 신설) ──
#
# 우리 중분류(2번째 칸)는 **소비분석용**이라 카드 혜택이 걸리는 단위와 다르다 —
# 교통/자동차 하나에 주유(505001)·시내버스(602103)·택시(602201)가 함께 들어 있는데,
# 카드는 이 셋을 전부 다르게 취급한다(주유 리터당 할인 / 대중교통 10% / 택시 별도).
# 그래서 **한 파일에서 두 축이 나간다** — 소비분석은 중분류를, 카드추천은 이 칸을 읽는다.
#
# 축의 정본은 카드 검색 서비스가 실제로 쓰는 분류를 따랐다(뱅크샐러드 카드 혜택 필터).
# 우리가 새로 지으면 카드사 공시의 묶음과 어긋나서 매칭이 안 된다.
#
# **'혜택축없음'은 "소비가 아니다"가 아니다.** 그 업종에 걸리는 카드 혜택 축이 없다는 뜻이고,
# 카드로 결제됐으면 **전월 실적에는 그대로 들어간다.** 실적 제외는 카드사가 정하는 별개 목록이다
# (공과금·아파트관리비·상품권·대중교통 등 — 카드마다 다르다).
#
# 업종코드로 못 가르는 축이 둘 있다.
#   · 배달      배달의민족이 통신판매업으로 등록돼 '쇼핑'이 된다 → 브랜드로만 풀린다
#   · 간편결제   결제수단이라 업종이 아니다 → 표시만 하고 계산에서 뺀다
# 그래서 카드추천의 판정은 **브랜드가 1순위, 이 칸이 2순위**다.
#
# 업종코드	중분류	국세청 세세분류(사람이 읽는 근거)	카드혜택 축

# ── 정보통신업 ──
221300	취미/여가	음악 및 기타 오디오물 출판업	디지털구독

# ── 전기, 가스, 증기 및 공기조절 공급업 ──
401000	주거/통신	태양력 발전업	혜택축없음
401001	주거/통신	원자력 발전업	혜택축없음
401002	주거/통신	수력 발전업	혜택축없음
401003	주거/통신	화력 발전업	혜택축없음
401004	주거/통신	풍력 발전업, 기타 발전업	혜택축없음
401005	주거/통신	송전 및 배전업	공과금/렌탈
401006	주거/통신	전기 판매업	공과금/렌탈
402001	주거/통신	연료용 가스 제조 및 배관공급업	공과금/렌탈
403000	주거/통신	증기, 냉ㆍ온수 및 공기 조절 공급업	공과금/렌탈

# ── 도매 및 소매업 ──
501101	교통/자동차	자동차 신품 판매업	혜택축없음
501103	교통/자동차	중고 자동차 판매업	혜택축없음
501201	교통/자동차	자동차 신품 판매업	혜택축없음
501202	교통/자동차	중고 자동차 판매업	혜택축없음
501301	교통/자동차	자동차 신품 판매업	혜택축없음
501302	교통/자동차	자동차 신품 판매업	혜택축없음
501303	교통/자동차	중고 자동차 판매업	혜택축없음
503001	교통/자동차	자동차 신품 타이어 및 튜브 판매업	혜택축없음
503002	교통/자동차	자동차 신품 타이어 및 튜브 판매업	혜택축없음
503003	교통/자동차	자동차 중고 부품 및 내장품 판매업	혜택축없음
503004	교통/자동차	자동차 중고 부품 및 내장품 판매업	혜택축없음
503005	교통/자동차	기타 자동차 신품 부품 및 내장품 판매업	혜택축없음
503006	교통/자동차	자동차용 전용 신품 부품 판매업	혜택축없음
503007	교통/자동차	자동차 내장용 신품 전기ㆍ전자ㆍ정밀기기 판매업	혜택축없음
503008	교통/자동차	기타 자동차 신품 부품 및 내장품 판매업	혜택축없음
503009	교통/자동차	자동차용 전용 신품 부품 판매업	혜택축없음
503010	교통/자동차	자동차 내장용 신품 전기ㆍ전자ㆍ정밀기기 판매업	혜택축없음
503013	교통/자동차	기타 자동차 신품 부품 및 내장품 판매업	혜택축없음
504001	교통/자동차	모터사이클 및 부품 도매업	혜택축없음
504002	교통/자동차	모터사이클 및 부품 소매업	혜택축없음
505001	교통/자동차	운송장비용 주유소 운영업	주유
505002	교통/자동차	운송장비용 수소 충전업, 운송장비용 기타 가스 충전업	주유

# ── 예술, 스포츠 및 여가관련 서비스업 ──
512293	취미/여가	복권 발행 및 판매업	혜택축없음

# ── 도매 및 소매업 ──
513911	의료	안경, 사진장비 및 광학용품 도매업	혜택축없음
513912	의료	안경, 사진장비 및 광학용품 도매업	혜택축없음
513913	의료	안경, 사진장비 및 광학용품 도매업	혜택축없음
