# 소분류 → 중분류. **소분류는 정확히 한 중분류에만 속한다** — 이 표가 그 불변식의 정본이다.
# 소분류를 알면 중분류가 결정된다. 그래서 브랜드에 소분류가 붙으면 그 브랜드의
# 모든 지점이 같은 중분류가 되고, 통로(업종코드·등록조회·LLM)가 달라도 갈리지 않는다.
# 이름은 **한 낱말**이다 — '신발·가방' 처럼 둘을 섞으면 무엇으로 묶인 것인지 알 수 없다.
#
# 소분류	중분류
가구	생활
가방	쇼핑
가스	주거/통신
가전	쇼핑
간병	생활
건강식품	편의점/잡화
게임	취미/여가
게임장	취미/여가
경기관람	취미/여가
고시원	여행/숙박
곡물	편의점/잡화
골프	건강/피트니스
공구	생활
공연	취미/여가
공원	취미/여가
공유이동	교통/자동차
공제	금융/보험
교육기관	생활
구급차	의료
구내식당	식비
구독	취미/여가
귀금속	쇼핑
기념품	취미/여가
낚시	취미/여가
난방	주거/통신
네일	미용
노래방	취미/여가
담배	편의점/잡화
대리운전	생활
대체의료	의료
도서	취미/여가
동물카페	카페/간식
디저트	카페/간식
렌탈	생활
렌터카	교통/자동차
마사지	생활
면세점	쇼핑
모텔	여행/숙박
목욕	생활
문구	취미/여가
반려용품	쇼핑
반려장묘	생활
반찬	편의점/잡화
방송	취미/여가
배달	식비
백화점	쇼핑
버스	교통/자동차
법률	생활
베이커리	카페/간식
병원	의료
보험대리	금융/보험
복권	취미/여가
볼링	건강/피트니스
부동산중개	주거/통신
부품	교통/자동차
분식	식비
비디오방	취미/여가
사무기기	쇼핑
사진	취미/여가
상가임대	주거/통신
새벽배송	편의점/잡화
생명보험	금융/보험
생활숙박	여행/숙박
세차	교통/자동차
세탁	생활
손해보험	금융/보험
손해사정	금융/보험
수도	주거/통신
수리	생활
수산물	편의점/잡화
수영	건강/피트니스
수의	생활
숙박예약	여행/숙박
슈퍼마켓	편의점/잡화
스포츠교실	건강/피트니스
스포츠시설	취미/여가
식품	편의점/잡화
신발	쇼핑
악기	생활
안경	의료
액세서리	쇼핑
앱마켓	취미/여가
약국	의료
양식	식비
어린이집	의료
여객선	교통/자동차
여행사	여행/숙박
연료	주거/통신
영상제작	취미/여가
영화관	취미/여가
예식	생활
오락실	취미/여가
온라인몰	쇼핑
완구	취미/여가
외국식	식비
요양원	의료
우편	주거/통신
운동용품	취미/여가
운전학원	교통/자동차
유흥주점	술/유흥
음반	취미/여가
의료기기	의료
의류	쇼핑
의원	의료
인적용역	생활
인테리어	생활
일식	식비
자동차	교통/자동차
자전거	취미/여가
자판기	쇼핑
장례	생활
전기	주거/통신
전시	취미/여가
점술	생활
정비	교통/자동차
정육	편의점/잡화
종합소매	편의점/잡화
주방용품	생활
주유	교통/자동차
주점	술/유흥
주차	교통/자동차
주택임대	주거/통신
중고	쇼핑
중식	식비
지하철	교통/자동차
직물	쇼핑
철도	교통/자동차
청과	편의점/잡화
출장뷔페	식비
충전	교통/자동차
치과	의료
치킨	식비
카드	금융/보험
카메라	쇼핑
캠핑	여행/숙박
커피	카페/간식
컴퓨터	쇼핑
콘도	여행/숙박
콘텐츠	취미/여가
퀵서비스	생활
탐정	생활
태권도	건강/피트니스
택배	생활
택시	교통/자동차
테마파크	취미/여가
토지임대	주거/통신
통번역	생활
통신	주거/통신
통신기기	쇼핑
통학	생활
통행료	교통/자동차
투자	금융/보험
티켓	취미/여가
패션몰	쇼핑
패스트푸드	식비
펜션	여행/숙박
편의점	편의점/잡화
피부	미용
학원	생활
한식	식비
한의원	의료
할인점	대형마트
항공	교통/자동차
헤어	미용
헬스	건강/피트니스
호텔	여행/숙박
화물	교통/자동차
화장품	미용
화훼	쇼핑
회계	생활
