# 업종 이름 → 소분류. 이미 가진 업종 이름에서 뽑으므로 **새로 물어볼 것이 없다**.
# 중분류는 여기 안 적는다 — sub-mid.tsv 가 정한다. 두 곳에 적으면 갈라진다.
# 이름은 국세청 세세분류 정본이다(원천 CSV 의 세세분류 칸).
#
# 업종이름	소분류
1인미디어콘텐츠창작자	인적용역
가구 소매업	가구
가방 및 기타 가죽제품 소매업	가방
가수	인적용역
가전제품 소매업	가전
가전제품 수리업	수리
가정용 가스 연료 소매업	가스
가정용 고체 연료 소매업	연료
가정용 세탁업	세탁
가정용 액체 연료 소매업	연료
가정용 직물제품 소매업	직물
가죽 및 모피 의복 소매업	의류
가죽, 가방 및 신발 수리업	수리
간이 음식 포장 판매 전문점	분식
개인 간병 및 유사 서비스업	간병
개인 공제업	공제
개인간병인	간병
건강 보조식품 소매업	건강식품
건어물 및 젓갈류 소매업	수산물
게임용구, 인형 및 장난감 소매업	완구
결혼 상담 및 준비 서비스업	예식
경주장 및 동물 경기장 운영업	경기관람
곡물, 곡분 및 가축 사료 소매업	곡물
골프 연습장 운영업	골프
골프장 운영업	골프
골프장캐디	인적용역
공구 소매업	공구
공연 기획업	공연
공연시설 운영업	공연
공영 우편업	우편
공인회계사업	회계
공인회계사업(기장대리), 기타 회계 관련 서비스업	회계
관광통역안내사	인적용역
광고 영화 및 비디오물 제작업	영상제작
교육관련 자문 및 평가업	교육기관
교육교구 방문강사	인적용역
그 외 기타 가구 제조업	가구
그 외 기타 개인 및 가정용품 수리업	수리
그 외 기타 개인 및 가정용품 임대업	렌탈
그 외 기타 보건업	대체의료
그 외 기타 분류 안된 교육기관	교육기관
그 외 기타 분류 안된 오락관련 서비스업	오락실
그 외 기타 숙박업	생활숙박
그 외 기타 스포츠 서비스업	스포츠시설
그 외 기타 스포츠시설 운영업	스포츠시설
그 외 기타 전기 통신업	통신
그 외 기타 종합 소매업	종합소매
그 외 기타 창작 및 예술관련 서비스업	전시
금속 가구 제조업	가구
기관 구내식당업	구내식당
기념품, 관광 민예품 및 장식용품 소매업	기념품
기숙사 및 고시원 운영업	고시원
기원 운영업	오락실
기타 공연단체	공연
기타 광학 및 정밀 기기 소매업	카메라
기타 교습학원	학원
기타 교육지원 서비스업	교육기관
기타 금융 투자업	투자
기타 기술 및 직업 훈련학원	학원
기타 내륙 수상 여객 및 화물 운송업	여객선
기타 대형 종합 소매업	할인점
기타 도시 정기 육상 여객 운송업	버스
기타 목재 가구 제조업	가구
기타 미용업	네일
