# **판매 방식만 말하고 무엇을 파는지 말하지 않는 업종** — 중분류 판정에서 뺀다.
#
# 온라인 가맹점은 업종을 거의 다 '전자상거래 소매업' 으로 등록한다. 배달의민족도 넥슨도
# 야놀자도 같은 코드다. 그런데 이 이름은 "무엇을 팔았는가" 를 말하지 않는다 —
# **온라인이라고 단정할 수도 없다**. 이 업종으로 등록한 사업자가 오프라인 매장을 함께
# 운영한다. 그래서 쇼핑으로 못박으면 배달도 게임도 숙박도 전부 쇼핑이 된다.
#
# 더 나쁜 것은 이 이름이 **LLM 에게 보여 주는 목록에도 들어 있었다는 것**이다
# (IndustryPrompt.industryList 가 midByIndustryName 에서 만든다). 모델이 모를 때 집어드는
# 탈출구가 되어, 물어볼수록 쇼핑이 불어난다. 목록에서 빠지면 모델은 무엇을 파는지
# 말해야 한다 — 배달의민족은 음식점, 넥슨은 게임으로 답이 내려간다.
#
# **카드 혜택축(cardAxisByIndustry)에서는 안 뺀다.** 소비 중분류는 틀리고 카드축은 맞기
# 때문이다 — 카드사도 온라인 할인을 이 업종코드로 판정하므로 우리 축이 카드사 기준과
# 같아진다. 게다가 525101~525105 가 '온라인쇼핑' 축의 전부라, 빼면 온라인 할인 카드
# 추천이 통째로 사라진다. (소분류를 통한 카드축 재설계는 후속 과제다.)
#
# 여기 적힌 코드는 midByIndustry 와 midByIndustryName 에서만 빠지고, cardAxisByIndustry
# 에는 그대로 남는다. build_industry.py 가 그렇게 가른다.
#
# 업종코드	업종 이름(사람이 읽는 사본)
525101	전자상거래 소매업
525102	기타 통신 판매업
525103	전자상거래 소매 중개업
525104	SNS마켓
525105	해외직구대행업
525200	방문 판매업
523132	방문 판매업
525300	계약배달 판매업
525912	그 외 기타 무점포 소매업
522092	그 외 기타 분류 안된 상품 전문 소매업
522105	그 외 기타 분류 안된 상품 전문 소매업
523954	그 외 기타 분류 안된 상품 전문 소매업
523984	그 외 기타 분류 안된 상품 전문 소매업
523985	그 외 기타 분류 안된 상품 전문 소매업
523986	그 외 기타 분류 안된 상품 전문 소매업
523994	그 외 기타 분류 안된 상품 전문 소매업
523995	그 외 기타 분류 안된 상품 전문 소매업
523999	그 외 기타 분류 안된 상품 전문 소매업
522081	그 외 기타 분류 안된 가정용품 소매업
523370	그 외 기타 분류 안된 가정용품 소매업
523391	그 외 기타 분류 안된 가정용품 소매업
523981	그 외 기타 분류 안된 가정용품 소매업
523982	그 외 기타 분류 안된 가정용품 소매업
749401	그 외 기타 달리 분류되지 않은 개인 서비스업
930908	그 외 기타 달리 분류되지 않은 개인 서비스업
930911	그 외 기타 달리 분류되지 않은 개인 서비스업
930925	그 외 기타 달리 분류되지 않은 개인 서비스업
950000	그 외 기타 달리 분류되지 않은 개인 서비스업
940909	기타자영업
