# 원천 업태 → KSIC 세분류(4자리) → 우리 중분류 대조표
#
# 이 파일이 단일 원천이다. 생성기(backend-mydata)와 백엔드(IndustryCategoryMapper)가
# 같은 표를 읽는다. 코드에 카테고리 이름을 박지 않기 위해 데이터로 둔다(마스터 §4 원칙 4).
#
# source  : 원천 구분. sources.py의 리더와 짝을 이룬다
# label   : 원천이 실제로 갖고 있는 업태값 그대로. 임의로 고치면 매칭이 깨진다
# ksic    : KSIC 세분류 4자리. reference/업종코드.csv(502개)에 반드시 실재해야 한다
# mid     : 우리 중분류 15개 중 하나. DROP이면 상호를 쓰지 않는다
#
# source	label	ksic	mid

# ── 서울시 일반음식점 (업태구분명 28종) ─────────────────────────────────────
# 한식 계열. 냉면·탕류·복어·횟집은 전부 한식 음식점업에 속한다.
seoul_food	한식	5611	식비
seoul_food	식육(숯불구이)	5611	식비
seoul_food	냉면집	5611	식비
seoul_food	탕류(보신용)	5611	식비
seoul_food	복어취급	5611	식비
seoul_food	횟집	5611	식비
# 외국식. 경양식·패밀리레스토랑·뷔페식도 여기다.
seoul_food	중국식	5612	식비
seoul_food	일식	5612	식비
seoul_food	경양식	5612	식비
seoul_food	외국음식전문점(인도,태국등)	5612	식비
seoul_food	패밀리레스트랑	5612	식비
seoul_food	뷔페식	5612	식비
# 치킨·패스트푸드. '통닭(치킨)'은 치킨집이고 '호프/통닭'은 술집이다 — 원본이 갈라 놨다.
seoul_food	통닭(치킨)	5616	식비
seoul_food	패스트푸드	5616	식비
# 간이 음식점.
seoul_food	분식	5619	식비
seoul_food	김밥(도시락)	5619	식비
# 출장·이동.
seoul_food	출장조리	5614	식비
seoul_food	이동조리	5614	식비
seoul_food	푸드트럭	5614	식비
# 주점. 호프/통닭이 8,806개로 최대 — 지금까지 치킨 풀에 섞여 식비로 잡히고 있었다.
seoul_food	호프/통닭	5621	술/유흥
seoul_food	정종/대포집/소주방	5621	술/유흥
seoul_food	감성주점	5621	술/유흥
seoul_food	라이브카페	5621	술/유흥
# 비알코올 음료점.
seoul_food	까페	5622	카페/간식
seoul_food	전통찻집	5622	카페/간식
seoul_food	커피숍	5622	카페/간식
# 키즈카페는 음식점 인허가지만 실질은 오락장이다.
seoul_food	키즈카페	9122	취미/여가
# '기타' 21,188개는 업종을 특정할 근거가 없다. 상호명으로 추측하면 지금의 오염이 재발한다.
seoul_food	기타	-	DROP
# 업태가 빈 행 4건. 근거가 없으므로 '기타'와 같이 버린다.
seoul_food		-	DROP

# ── 서울시 미용업 (업태구분명 6종) ──────────────────────────────────────────
seoul_beauty	일반미용업	9611	미용
seoul_beauty	일반이용업	9611	미용
seoul_beauty	피부미용업	9611	미용
seoul_beauty	네일아트업	9611	미용
seoul_beauty	메이크업업	9611	미용
seoul_beauty	기타	9611	미용

# ── 서울시 체력단련장업 (업태 구분 없음) ─────────────────────────────────────
seoul_gym	*	9113	건강/피트니스

# ── 충청남도 세탁업 (업태구분명 4종) ────────────────────────────────────────
chungnam_laundry	일반세탁업	9691	생활
chungnam_laundry	운동화전문세탁업	9691	생활
chungnam_laundry	빨래방업	9691	생활
chungnam_laundry	세탁업 기타	9691	생활

# ── 경상북도 목욕탕 (업태 구분 없음) ────────────────────────────────────────
gyeongbuk_bath	*	9612	생활

# ── 경상북도 숙박업 (업종 8종) ─────────────────────────────────────────────
# 호텔·콘도는 일반 숙박시설, 펜션·한옥·호스텔은 기타 숙박업.
gyeongbuk_stay	관광호텔업	5510	여행/숙박
gyeongbuk_stay	소형호텔업	5510	여행/숙박
gyeongbuk_stay	가족호텔업	5510	여행/숙박
gyeongbuk_stay	한국전통호텔업	5510	여행/숙박
gyeongbuk_stay	휴양콘도미니엄업	5510	여행/숙박
gyeongbuk_stay	관광펜션업	5590	여행/숙박
gyeongbuk_stay	한옥체험업	5590	여행/숙박
gyeongbuk_stay	호스텔업	5590	여행/숙박

# ── 심평원 약국 ────────────────────────────────────────────────────────────
hira_pharmacy	약국	4781	의료

# ── 심평원 병의원 (종별코드명 15종) ─────────────────────────────────────────
# 병원급과 의원급이 KSIC에서 갈린다(8610 / 8620).
hira_hospital	병원	8610	의료
hira_hospital	요양병원	8610	의료
hira_hospital	한방병원	8610	의료
hira_hospital	종합병원	8610	의료
hira_hospital	상급종합	8610	의료
hira_hospital	정신병원	8610	의료
hira_hospital	치과병원	8610	의료
hira_hospital	의원	8620	의료
hira_hospital	치과의원	8620	의료
hira_hospital	한의원	8620	의료
hira_hospital	보건소	8630	의료
hira_hospital	보건지소	8630	의료
hira_hospital	보건진료소	8630	의료
hira_hospital	보건의료원	8630	의료
hira_hospital	조산원	8690	의료

# ── 전국 동물병원 (업태 구분 없음) ──────────────────────────────────────────
vet	*	7310	생활

# ── 브랜드 풀 (merchants_brand.json의 42키) ─────────────────────────────────
# 큐레이션된 실제 브랜드명이라 오염이 없다. 키 이름은 기존 category2를 그대로 쓴다.
brand	대형마트	4711	대형마트
brand	백화점	4711	대형마트
brand	편의점	4712	편의점/잡화
brand	드럭스토어	4712	편의점/잡화
brand	화장품	4712	편의점/잡화
brand	생활잡화	4759	편의점/잡화
brand	키즈육아	4759	편의점/잡화
